authon,"Exercise","Exercise Type","Major Muscle","Minor Muscle","Notes","Modifications","06.gif"
piotr,"Arnold Press","Weight","Arms","Bicep","","","giphy-2.gif"
piotr,"Battle Rope Wave","Plyo","Arms","Shoulders","","","giphy.gif"
piotr,"Battle Rope Wave" Burpee","Plyo","Full Body","","","Harder: Add Pushup to Burpee or Jump in the air after Burpee","4.Alternating-Waves3.gif"
piotr,"Bench Press","Weight","Arms","Chest","Bar" 5LB","","bench-press-gif-2.gif"
piotr,"Bicep Curl","Weight","Arms","Bicep","Dont use momentum. Make sure the movement is coming from the bottom half of your arm not your shoulder moving the weight.","","3e8b7121-738e-4457-b6d8-fd3a3e04de5a.gif"
piotr,"Bicycle Crunch","Weight","Core","","The lower the straight leg is to the ground the more challenging this exercise is.","Easier: Move Slower, Legs higher in the air Harder: Keep shoulder blades off the ground entire time","200.gif"
piotr,"Bounds","Cardio","Full Body","Outer Thigh","Do laps across the room of these.","Easier: Dont jump as high/far Harder: Touch the ground with your opposite hand after each jump","1ea07303-2e87-4876-8e68-8944edd42173.gif"
piotr,"Box Jumps","Plyo","Full Body","","Dont be afraid, you can jump higher than you think. Just try it once.","Easier: Lower the height of the box and work up Harder: Jump Faster and higher boxes","giphy.gif"
piotr,"Box Toe Touch","Cardio","Legs","Glutes","","Easier: Dont use a box, just practice toe touch without Harder: Increase Speed","workoutanniversarygif9570.gif"
piotr,"Broad Jump","Plyo","Legs","Glutes","You can do these for speed, or for distance. Speed = Cardio, Distance/Height = Plyo","","Broad-Jumps-180-Degree-Twist.gif"
piotr,"Bulgarian Split Squat","Weight","Legs","Hamstrings","Use Single 30LB Dumbbell or an Olympic Bar","","erin_stern_demonstrates_bulgarian_split_squat.gif"
piotr,"Burpee","Plyo","Full Body","","Option with half Bosu, Pushup Optional. Make sure you dont round your back","Easier: Dont Jump after, and break down motion squat, step legs back and no pushup Harder: Speed","Burpee.gif"
piotr,"Burpee Broad Jump","Plyo","Full Body","","Do laps of these across the room if you have the space.","","BurpeeBroadJump-1.gif"
piotr,"Butt Kickers","Cardio","Legs","Glutes","Do it like you mean it, or this exercise is a waste of time. ","Harder: Hold weights, move faster","1ef0b377-0b2e-47a0-9f1f-1e8ab3669923.gif"
piotr,"Cable Woodchop","Weight","Core","","The movement should originate from your core not your shoulders. The arms are just the vessel","","horizontalwoodchop.jpg"
piotr,"Calf Raise","Weight","Legs","Calves","Play around with foot placement, some gyms also have machines for this","","Calf-Raises-Basic.jpg"
piotr,"Chest Press","Weight","Arms","Chest","You can do this lying on the ground, or on a bench top","","Dumbbell-Floor-Press.gif"
piotr,"Close to Wide Grip Burnout","Weight","Arms","Bicep","","","4.gif"
piotr,"Compass Jump","Cardio","Full Body","","These can also be done with both feet on the ground.","Easier: Both feet on the ground, or stepping instead of jumping","3b38ff89-fc79-409e-b45e-ae6a47d1ca17.gif"
piotr,"Crab Crawl","Cardio","Full Body","","","","0d08fe37-5714-486b-a786-fea0f0cfbea7.gif"
piotr,"Curtsey Lunges","Weight","Legs","Inner Thigh","","","curtsy_lunge_barbell.gif"
piotr,"Deadlift","Weight","Legs","Hamstrings","Bar" 45LB","","deadlift-gif-side.gif"
piotr,"Deficit Squat","Weight","Legs","Glutes","","","dumbell-squat-from-deficit-front-view.png"
piotr,"Donkey Kick","Weight","Legs","Glutes","","Easier: Dont use weights Harder: Use heavy weights","_KneelingGluteKickBackSelf2_1_10.gif"
piotr,"Fire Hydrant","Weight","Legs","Glutes","","Harder: Place a weight behind your kneecap","Jen-Selters-Fire-Hydrant.gif"
piotr,"Flutter Kick","Weight","Core","","Her neck looks like its undergoing some serious strain. Feel free to leave yours on the ground.","","Flutter-Kicks.gif"
piotr,"Frogger","Plyo","Full Body","","","Easier: Step Back instead of jumping back Harder: Burpee","831b594cc2767b2f_Frogger.gif"
piotr,"Front-Load Squat","Weight","Legs","Glutes","Bar" 35LB","","front.gif"
piotr,"Glute Bridge","Weight","Legs","Glutes","If using weights, place in hip crease","","a562d6f5-888c-4b4a-a274-f969c3a8557d.gif"
piotr,"Glute Bridge March","Weight","Legs","Hamstrings","","","7346ca6c-b218-4a33-8fc7-f522df243390.gif"
piotr,"Glute Kickback","Weight","Legs","Glutes","","","400x400_Wall_Pushup_Variations_One_Legged_Kickback_On_Cable_Machine.gif"
piotr,"Goblet Squat","Weight","Legs","Glutes","","","depositphotos_127641230-stock-photo-kettlebell-goblet-squat.jpg"
piotr,"Halo","Weight","Arms","Shoulders","","","ebe25b12-cc24-4b29-8d98-9566007ac4a8.gif"
piotr,"Hamstring Curl","Weight","Legs","Hamstrings","","","bb_stability-ball_hamstring-roll-out.gif"
piotr,"Heart Pump","Weight","Arms","Bicep","","","eac68ec3-15dc-4a6a-806f-aa7572f394b0.gif"
piotr,"High Knees","Cardio","Full Body","","My coach always says, your high knees tells a lot about your dedication. Do yours like the guy in the gif. Get your knees up or dont bother!","Easier: Running on the spot Harder: Speed","highkneerun-1457044203.gif"
piotr,"Hip Thrust","Weight","Legs","Glutes","Bar" 35LB","","barbell_hip_thrust_progression-1.gif"
piotr,"Incline Leg Press","Weight","Legs","Quads","","","tenor-2.gif"
piotr,"Jacknife","Weight","Core","","","","Jacknife.gif"
piotr,"Jump Lunges","Plyo","Legs","Glutes","","Easier: Split Jump, so dont go all the way down into a lunge. Or alternate between regular lunges and lunge jumps","6405bfbb-585f-45e8-8834-0c5145f546f6.gif"
piotr,"Jump Rope","Cardio","Full Body","","","Harder: Single Leg","Sprint-2.gif"
piotr,"Jumping Jack Push Press","Plyo","Full Body","","","Easier: Remove the weights, step out instead of jump","workoutanniversarygif05570.gif"
piotr,"Jumping Jacks","Cardio","Full Body","","Go faster than the gif lady. I chose her because she has good form, your hand should always touch at the top","Easier: Step out instead of jump","jumping-jacks-gif-11.gif"
piotr,"Kettlebell Swing","Cardio","Full Body","","When I do these I usually keep my hand close to my body and let my hips push the movement. If youd like to experiment, you can use a dumbbell instead","","778789f4361994739ce59b8e597d00e7.gif"
piotr,"Knee Drive","Plyo","Full Body","","","Harder: Single-leg jump in the air after the knee drive, hold weights","skipsgifsmall.gif"
piotr,"L-Sit","Weight","Core","Shoulders","","","68ddb0d2-add5-4124-ac47-7687817d377a.jpg"
piotr,"Lat Pulldown","Weight","Back","Lats","","","Traditional-Lat-Pulldown-Machine.gif"
piotr,"Lateral Band Walk","Cardio","Legs","Outer Thigh","","","_CrabWalkSelf2_1_2.gif"
piotr,"Leg Pull Apart","Weight","Legs","Outer Thigh","","","f240c036-c8d8-4d59-8a2b-941a438ea462.gif"
piotr,"Leg Raise","Weight","Core","","Hold onto something heavy","","legraise.jpg"
piotr,"Literally Just Jumping","Plyo","Full Body","Calves","No good gifs for this, keep core tight, minimize time on the ground and jump up and down.","","tenor.gif"
piotr,"Lying Leg Raises","Weight","Core","","","","lying.gif"
piotr,"Military Plank","Plyo","Full Body","Shoulders","","Easier: Do this from your knees","Military-Plank-Vicky.gif"
piotr,"Monkey Jump","Plyo","Full Body","","","Harder: Do a literally just jumping between your monkey jumps","d6367f97-0584-4895-b292-d7aeae1b3ad6.gif"
piotr,"Mountain Climbers","Cardio","Core","","","Easier: Step in, instead of running your knees","mountain-climbers-gif-3.gif"
piotr,"One-Arm Press","Weight","Arms","Shoulders","","","hammer-jammer.jpg"
piotr,"Pike to Superman","Weight","Core","","","","30-best-ab-workouts-pike-to-superman.jpg"
piotr,"Plank","Weight","Full Body","Chest","","Easier: Go from your knees","plank.jpg"
piotr,"Plank Jack","Cardio","Full Body","","","Easier: Step out, instead of jumping your knees","3705bd36-6b31-42df-9dd1-8d4984b797dc.gif"
piotr,"Plank Row","Weight","Full Body","","","","3d9683d8b8f09bb0863726633ae69910.gif"
piotr,"Power Clean","Weight","Full Body","","","","659aab99-a93e-45ed-8927-cff5d55e40c2.gif"
piotr,"Pushup","Weight","Arms","Chest","Can be done from knees, or legs. Arms parallel to your body like the dude in the gif.","Easier: Go from your knees, or standing against the wall","GlossySkinnyDuckbillcat-max-1mb.gif"
piotr,"Pushup Walk","Weight","Arms","Chest","","","094028d3-bc38-481b-85c1-5c8dad17f12b.gif"
piotr,"Reverse Crunches","Weight","Core","","","","reverse.gif"
piotr,"Row","Weight","Back","","Bar" 15LB","","78eb6279-95b9-4269-a337-c2c0ca3b78d3.gif"
piotr,"Russian Twist","Weight","Core","","","","26c0501d-0254-4bc7-9b79-47b004393d4d.gif"
piotr,"Seal Jacks","Cardio","Full Body","","Clap your hands and dance around while you do these. Makes life more fun.","","Seal-Jacks.gif"
piotr,"Seated Rope Pull","Weight","Core","","","","v-ropeflex.gif"
piotr,"Shoulder Press","Weight","Arms","Shoulders","Bar" 5LB","","03478637-60f5-49f1-95b3-593fead73610.gif"
piotr,"Side Arm / Lateral Raise","Weight","Arms","Lats","","","12abf096-2edb-4062-8468-17e2951c14fe.gif"
piotr,"Side Lunge","Weight","Legs","Outer Thigh","","Easier: no weights","lungeside.gif"
piotr,"Side Plank","Weight","Full Body","Oblique","","Easier: do the movement from your knees","_main2_sideplank.jpg"
piotr,"Side Plank Dips","Weight","Core","Oblique","","Easier: do the movement from your knees","Side-Plank-Hip-Dips.gif"
piotr,"Side Plank with Leg Lift","Weight","Core","Oblique","","Easier: do the movement from your knees","75dcba8e-f0af-48c0-a6e8-c477b738911e.gif"
piotr,"Single Arm Clean and Press ","Weight","Full Body","Shoulders","Currently using 25LB","","KettleBellCleanPress.gif"
piotr,"Single Leg Hip Bridge","Weight","Legs","Hamstrings","Youre wasting your time on this if youre not actually thinking about squeezing your glutes with each movement. You really need to be focused to do this.","Easier: remove the ball and do this movement from the floor.","Hip-Thrust.gif"
piotr,"Single Leg Squat","Weight","Legs","Glutes","","","c7c4a48e-8a32-4f5e-aacf-bf152712e71a.gif"
piotr,"Situp and Throw","Weight","Core","","","","30-best-ab-exercises-situp-and-throw.jpg"
piotr,"Skaters","Cardio","Legs","Outer Thigh","Lady in the gif isnt giving it 100% make sure to touch the ground between reps","Easier: remove the jump Harder: Hold Weights","cca03f06-da6a-4d09-9718-b6e595fb2b96.gif"
